id,store,address,latitude,longitude,store_type,product_category,city_region
MER_1,Excessorize,"1826 Park Ave, Richmond, VA 23220",37.5539325,-77.4624215,Clothing,Apparel,Fashion District
MER_2,Rotate,"913 W Grace St D, Richmond, VA 23220",37.5501783,-77.4524108,Clothing,Apparel,Fashion District
MER_3,Virginia Book Company,"900 W Franklin St, Richmond, VA 23284",37.5494422,-77.4522308,Book Store,Literature,Fashion District
MER_4,Saturn Return,"713 W Broad St # 100, Richmond, VA 23220",37.5494826,-77.4487504,Clothing,Apparel,Fashion District
MER_5,Plaza Artist Materials,"927 W Grace St, Richmond, VA 23220",37.5503044,-77.4529756,Art Supply Store,Art & Art Supplies,Fashion District
MER_6,The Lombardy Market,"N Lombardy St, Richmond, VA 23220",37.557364,-77.453152,Convience Store,Variety,Fashion District
MER_7,Eastern Express,"937 W Grace St, Richmond, VA 23220",37.550705,-77.4531329,Convience Store,Variety,Fashion District
MER_8,Richmond Book Shop,"808 W Broad St, Richmond, VA 23220",37.5500449,-77.4487246,Book Store,Literature,Fashion District
MER_9,Book Holders,"720 W Grace St, Richmond, VA 23220",37.5491057,-77.4493562,Book Store,Literature,Fashion District
MER_10,Student Corner,"937 W Grace St, Richmond, VA 23220",37.550705,-77.4531329,Book Store,Literature,Fashion District
MER_11,Family Dollar,"1903 W Main St, Richmond, VA 23220",37.5484149,-77.4650433,Dollar Store,Variety,Fashion District
MER_12,The Clothes Rack,"2618 W Cary St, Richmond, VA 23220",37.5513301,-77.4746338,Clothing,Apparel,Fashion District
MER_13,Boketto Wellness,"106 N Vine St floor 1, Richmond, VA 23220",37.5495836,-77.4615358,Health and Beauty,Cosmetics,Fashion District
MER_14,Boho To Go,"1520 W Main St, Richmond, VA 23220",37.5476874,-77.4605615,Home Goods Store,Home Goods,Fashion District
MER_15,Need Supply Co.,"3100 W Cary St, Richmond, VA 23221",37.5532123,-77.4801035,Clothing,Apparel,Fashion District
MER_16,Market 810-2-Go,"810 Cathedral Pl, Richmond, VA 23284",37.548067,-77.4522099,Convience Store,Variety,Fashion District
MER_17,Dollar Tree,"1510 W Broad St, Richmond, VA 23220",37.5543836,-77.455633,Dollar Store,Variety,Fashion District
MER_18,Bridget Berai Home Store,"1528 W Cary St, Richmond, VA 23220",37.5465117,-77.4612947,Home Goods Store,Home Goods,Fashion District
MER_19,Uppys,"2206 W Main St, Richmond, VA 23220",37.5505323,-77.4687339,Convience Store,Variety,Fashion District
MER_20,Chop Suey Books,"2913 W Cary St, Richmond, VA 23221",37.5520964,-77.4783019,Book Store,Literature,Fashion District
MER_21,Mod & Sol,"323 W Broad St, Richmond, VA 23220",37.5473728,-77.4455349,Clothing,Apparel,Fashion District
MER_22,Bygones Vintage Clothing,"2916 W Cary St, Richmond, VA 23221",37.5524497,-77.4780956,Clothing,Apparel,Fashion District
MER_23,White Cap,"2405 Hermitage Road, Richmond VA 23220",37.5648723,-77.4599339,Hardware,Hardware,Fashion District
MER_24,Architectural Hardware Inc.,"2405 Ownby Lane, Richmond VA 23220",37.5639912,-77.4563036,Hardware,Hardware,Fashion District
MER_25,VCU E 2 Bookstore,"1111 E Main St, Richmond VA 23219",37.5365772,-77.4350118,Art Supply Store,Art & Art Supplies,Fashion District
MER_26,Stuff,"2910 W Moore St, Richmond VA 23230",37.567152,-77.468757,"Jewelry, Art Galleries and Gift Shops",Jewelry,Fashion District
MER_27,Black Swan Books,"3310-C Rosedale Ave, Richmond VA 23230",37.5773305,-77.470242,Book Store,Literature,Fashion District
MER_28,Music & Arts,"4701 W Broad St, Richmond VA 23230",37.5790547,-77.4908611,Music Store,School Supplies,Fashion District
MER_29,The Virginia Shop,"800 E Broad St, Richmond VA 23219",37.5416525,-77.4338014,Boutique,Boutique & Gift Shop,Fashion District
MER_30,Alpha Comics and Games,"1601 Willow Lawn Dr 300 B, Richmond VA 23230",37.582542,-77.49744,Toy Store,Toy and Games,Fashion District
MER_31,Ina,"300 N Robinson St, Richmond VA 23220",37.555702,-77.4712476,Children's Toy and Clothing Store,"Toys, Clothing and Home Decor",Fashion District
MER_32,RVA Natural,"2501 Monument Ave St. 213, Richmond, VA 23220",37.5582434,-77.4682793,Toy Store,Toys and Games,Fashion District
MER_33,Monument,"823 W Broad St, Richmond, VA 23220",37.550025,-77.450037,Mens Clothing and Boutique Shop,Apparel,Fashion District
MER_34,Rumors Boutique,"723 W Broad St, Richmond, VA 23220",37.5495545,-77.4490425,Thrift Store,Apparel,Fashion District
MER_35,Rosewood Clothing,"407 Cleveland St, Richmond, VA 23221",37.5594453,-77.4778827,Clothing,Apparel,Fashion District
MER_36,DAT Boutique,"904 W Broad St, Richmond, VA 23220",37.550507,-77.4495243,Women's Clothing,Apparel,Fashion District
MER_37,Jackson & James,"3200 Rockridge St Ste 102, Richmond, VA 23230",37.570595,-77.4695567,Mens Clothing and Boutique Shop,Apparel,Fashion District
